protocol,case_id,t,input,teacher,a,w,c,fired,active,firedCount,effective
S1,a_dt=0.05,0.000000,0.3,,0.300000,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.05,0.050000,0.3,,0.553945,0.000000,0.000000,true,true,1,0.000000
S1,a_dt=0.05,0.100000,0.3,,0.768904,0.000000,0.000000,true,true,2,0.000000
S1,a_dt=0.05,0.150000,0.3,,0.950863,0.000000,0.000000,true,true,3,0.000000
S1,a_dt=0.05,0.200000,0.3,,1.104888,0.000000,0.000000,true,true,4,0.000000
S1,a_dt=0.10,0.000000,0.3,,0.300000,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.10,0.100000,0.3,,0.514959,0.000000,0.000000,true,true,1,0.000000
S1,a_dt=0.10,0.200000,0.3,,0.668985,0.000000,0.000000,true,true,2,0.000000
S1,a_dt=0.10,0.300000,0.3,,0.779348,0.000000,0.000000,true,true,3,0.000000
S1,a_dt=0.10,0.400000,0.3,,0.858428,0.000000,0.000000,true,true,4,0.000000
S1,a_dt=0.15,0.000000,0.3,,0.300000,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.15,0.150000,0.3,,0.481959,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.15,0.300000,0.3,,0.592323,0.000000,0.000000,true,true,1,0.000000
S1,a_dt=0.15,0.450000,0.3,,0.659262,0.000000,0.000000,true,true,2,0.000000
S1,a_dt=0.15,0.600000,0.3,,0.699863,0.000000,0.000000,true,true,3,0.000000
S1,a_dt=0.20,0.000000,0.3,,0.300000,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.20,0.200000,0.3,,0.454025,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.20,0.400000,0.3,,0.533104,0.000000,0.000000,true,true,1,0.000000
S1,a_dt=0.20,0.600000,0.3,,0.573705,0.000000,0.000000,true,true,2,0.000000
S1,a_dt=0.20,0.800000,0.3,,0.594550,0.000000,0.000000,true,true,3,0.000000
S1,a_dt=0.25,0.000000,0.3,,0.300000,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.25,0.250000,0.3,,0.430379,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.25,0.500000,0.3,,0.487042,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.25,0.750000,0.3,,0.511668,0.000000,0.000000,true,true,1,0.000000
S1,a_dt=0.25,1.000000,0.3,,0.522370,0.000000,0.000000,true,true,2,0.000000
S1,a_dt=0.30,0.000000,0.3,,0.300000,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.30,0.300000,0.3,,0.410364,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.30,0.600000,0.3,,0.450964,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.30,0.900000,0.3,,0.465901,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.30,1.200000,0.3,,0.471395,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.35,0.000000,0.3,,0.300000,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.35,0.350000,0.3,,0.393421,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.35,0.700000,0.3,,0.422513,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.35,1.050000,0.3,,0.431572,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.35,1.400000,0.3,,0.434393,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.40,0.000000,0.3,,0.300000,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.40,0.400000,0.3,,0.379079,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.40,0.800000,0.3,,0.399924,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.40,1.200000,0.3,,0.405419,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.40,1.600000,0.3,,0.406867,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.45,0.000000,0.3,,0.300000,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.45,0.450000,0.3,,0.366939,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.45,0.900000,0.3,,0.381875,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.45,1.350000,0.3,,0.385208,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.45,1.800000,0.3,,0.385951,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.50,0.000000,0.3,,0.300000,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.50,0.500000,0.3,,0.356663,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.50,1.000000,0.3,,0.367365,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.50,1.500000,0.3,,0.369386,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.50,2.000000,0.3,,0.369768,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.55,0.000000,0.3,,0.300000,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.55,0.550000,0.3,,0.347964,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.55,1.100000,0.3,,0.355632,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.55,1.650000,0.3,,0.356858,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.55,2.200000,0.3,,0.357054,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.60,0.000000,0.3,,0.300000,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.60,0.600000,0.3,,0.340601,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.60,1.200000,0.3,,0.346095,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.60,1.800000,0.3,,0.346839,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.60,2.400000,0.3,,0.346940,0.000000,0.000000,false,true,0,0.000000
S1,a_dt=0.65,0.000000,0.3,,0.300000,0.000000,0.000000,false,true,0,0.000000
