protocol,case_id,t,input,teacher,a,w,c,fired,active,firedCount,effective
S2,ipi=0.10_m=0.50,0.100000,,0.50,0.937808,0.063486,0.423241,true,true,2,0.053740
S2,ipi=0.10_m=0.50,0.200000,,0.50,1.609776,0.108093,0.845073,true,true,4,0.091499
S2,ipi=0.10_m=0.50,0.300000,,0.50,2.091263,0.142501,1.265502,true,true,6,0.120625
S2,ipi=0.10_m=0.50,0.400000,,0.50,2.436263,0.170524,1.684531,true,true,8,0.144346
S2,ipi=0.10_m=0.50,0.500000,,0.50,2.683467,0.194173,2.102167,true,true,10,0.164364
S2,ipi=0.10_m=0.50,0.600000,,0.50,2.860596,0.214638,2.518412,true,true,12,0.181687
S2,ipi=0.10_m=0.50,0.700000,,0.50,2.987514,0.232682,2.933272,true,true,14,0.196961
S2,ipi=0.10_m=0.50,0.800000,,0.50,3.078455,0.248823,3.346752,true,true,16,0.210624
S2,ipi=0.10_m=0.50,0.900000,,0.50,3.143617,0.263428,3.758855,true,true,18,0.222987
S2,ipi=0.10_m=0.50,1.000000,,0.50,3.190308,0.276769,4.169587,true,true,20,0.234280
S2,ipi=0.10_m=0.50,1.100000,,0.50,3.223764,0.289050,4.578953,true,true,22,0.244675
S2,ipi=0.10_m=0.50,1.200000,,0.50,3.247735,0.300429,4.986956,true,true,24,0.254308
S2,ipi=0.10_m=0.50,1.300000,,0.50,3.264912,0.311033,5.393601,true,true,26,0.263284
S2,ipi=0.10_m=0.50,1.400000,,0.50,3.277219,0.320963,5.798893,true,true,28,0.271689
S2,ipi=0.10_m=0.50,1.500000,,0.50,3.286038,0.330301,6.202837,true,true,30,0.279594
S2,ipi=0.10_m=0.50,1.600000,,0.50,3.292357,0.339115,6.605436,true,true,32,0.287055
S2,ipi=0.10_m=0.50,1.700000,,0.50,3.296885,0.347462,7.006695,true,true,34,0.294120
S2,ipi=0.10_m=0.50,1.800000,,0.50,3.300129,0.355391,7.406619,true,true,36,0.300832
S2,ipi=0.10_m=0.50,1.900000,,0.50,3.302454,0.362943,7.805213,true,true,38,0.307225
S2,ipi=0.10_m=0.50,2.000000,,0.50,3.304119,0.370153,8.202479,true,true,40,0.313328
S2,ipi=0.10_m=0.50,2.100000,,0.50,3.305313,0.377052,8.598424,true,true,42,0.319168
S2,ipi=0.10_m=0.50,2.200000,,0.50,3.306168,0.383666,8.993051,true,true,44,0.324767
S2,ipi=0.10_m=0.50,2.300000,,0.50,3.306781,0.390019,9.386365,true,true,46,0.330144
S2,ipi=0.10_m=0.50,2.400000,,0.50,3.307220,0.396132,9.778370,true,true,48,0.335318
S2,ipi=0.10_m=0.50,2.500000,,0.50,3.307534,0.402022,10.169071,true,true,50,0.340304
S2,ipi=0.10_m=0.50,2.600000,,0.50,3.307760,0.407706,10.558471,true,true,52,0.345116
S2,ipi=0.10_m=0.50,2.700000,,0.50,3.307921,0.413199,10.946576,true,true,54,0.349765
S2,ipi=0.10_m=0.50,2.800000,,0.50,3.308037,0.418513,11.333389,true,true,56,0.354264
S2,ipi=0.10_m=0.50,2.900000,,0.50,3.308120,0.423660,11.718915,true,true,58,0.358621
S2,ipi=0.10_m=0.50,3.000000,,0.50,3.308179,0.428652,12.103158,true,true,60,0.362846
S2,ipi=0.10_m=0.50,3.100000,,0.50,3.308222,0.433497,12.486122,true,true,62,0.366947
S2,ipi=0.10_m=0.50,3.200000,,0.50,3.308252,0.438205,12.867811,true,true,64,0.370932
S2,ipi=0.10_m=0.50,3.300000,,0.50,3.308274,0.442782,13.248231,true,true,66,0.374807
S2,ipi=0.10_m=0.50,3.400000,,0.50,3.308290,0.447238,13.627385,true,true,68,0.378579
S2,ipi=0.10_m=0.50,3.500000,,0.50,3.308301,0.451578,14.005276,true,true,70,0.382253
S2,ipi=0.10_m=0.50,3.600000,,0.50,3.308309,0.455809,14.381911,true,true,72,0.385834
S2,ipi=0.10_m=0.50,3.700000,,0.50,3.308315,0.459937,14.757292,true,true,74,0.389328
S2,ipi=0.10_m=0.50,3.800000,,0.50,3.308319,0.463966,15.131424,true,true,76,0.392738
S2,ipi=0.10_m=0.50,3.900000,,0.50,3.308322,0.467901,15.504310,true,true,78,0.396070
S2,ipi=0.10_m=0.50,4.000000,,0.50,3.308324,0.471748,15.875956,true,true,80,0.399326
S2,ipi=0.10_m=0.50,4.100000,,0.50,3.308326,0.475510,16.246365,true,true,82,0.402510
S2,ipi=0.10_m=0.50,4.200000,,0.50,3.308327,0.479191,16.615542,true,true,84,0.405626
S2,ipi=0.10_m=0.50,4.300000,,0.50,3.308328,0.482795,16.983490,true,true,86,0.408677
S2,ipi=0.10_m=0.50,4.400000,,0.50,3.308328,0.486325,17.350213,true,true,88,0.411665
