protocol,case_id,t,input,teacher,a,w,c,fired,active,firedCount,effective
S3,gap=0.5xTauE|formed,1.100000,,1.0,1.892034,0.332354,5.036824,true,true,12,0.281332
S3,gap=0.5xTauE|postgap,1.200000,,,1.355701,0.332354,5.036824,true,true,12,0.201583
S3,gap=0.5xTauE|afterprune_kept,1.200000,,,1.355701,0.332354,5.036824,true,true,12,0.201583
S3,gap=1.0xTauE|formed,1.100000,,1.0,1.892034,0.332354,5.036824,true,true,12,0.281332
S3,gap=1.0xTauE|postgap,1.350000,,,0.822275,0.332354,5.036824,true,true,12,0.122266
S3,gap=1.0xTauE|afterprune_kept,1.350000,,,0.822275,0.332354,5.036824,true,true,12,0.122266
S3,gap=2.0xTauE|formed,1.100000,,1.0,1.892034,0.332354,5.036824,true,true,12,0.281332
S3,gap=2.0xTauE|postgap,1.650000,,,0.302498,0.332354,5.036824,true,true,12,0.044979
S3,gap=2.0xTauE|afterprune_kept,1.650000,,,0.302498,0.332354,5.036824,true,true,12,0.044979
S3,gap=3.0xTauE|formed,1.100000,,1.0,1.892034,0.332354,5.036824,true,true,12,0.281332
S3,gap=3.0xTauE|postgap,1.950000,,,0.111283,0.332354,5.036824,true,true,12,0.016547
S3,gap=3.0xTauE|afterprune_PRUNED,1.950000,,,0.111283,0.332354,5.036824,true,false,12,0.016547
S3,gap=4.0xTauE|formed,1.100000,,1.0,1.892034,0.332354,5.036824,true,true,12,0.281332
S3,gap=4.0xTauE|postgap,2.250000,,,0.040939,0.332354,5.036824,true,true,12,0.006087
S3,gap=4.0xTauE|afterprune_PRUNED,2.250000,,,0.040939,0.332354,5.036824,true,false,12,0.006087
S3,gap=5.0xTauE|formed,1.100000,,1.0,1.892034,0.332354,5.036824,true,true,12,0.281332
S3,gap=5.0xTauE|postgap,2.550000,,,0.015060,0.332354,5.036824,true,true,12,0.002239
S3,gap=5.0xTauE|afterprune_PRUNED,2.550000,,,0.015060,0.332354,5.036824,true,false,12,0.002239
