protocol,case_id,t,input,teacher,a,w,c,fired,active,firedCount,effective,dw,etaEff
S4,meta,0.100000,,1.0,0.937808,0.126972,0.846482,true,true,2,0.107480,0.126972,0.150000
S4,meta,0.300000,,1.0,1.419294,0.195737,1.690147,true,true,4,0.165688,0.068764,0.081236
S4,meta,0.500000,,1.0,1.666498,0.242936,2.531004,true,true,6,0.205641,0.047199,0.055759
S4,meta,0.700000,,1.0,1.793416,0.278895,3.369063,true,true,8,0.236079,0.035959,0.042481
S4,meta,0.900000,,1.0,1.858578,0.307957,4.204333,true,true,10,0.260680,0.029062,0.034332
S4,meta,1.100000,,1.0,1.892034,0.332354,5.036824,true,true,12,0.281332,0.024397,0.028822
S4,meta,1.300000,,1.0,1.909210,0.353387,5.866544,true,true,14,0.299136,0.021033,0.024848
S4,meta,1.500000,,1.0,1.918029,0.371878,6.693503,true,true,16,0.314788,0.018491,0.021845
S4,meta,1.700000,,1.0,1.922557,0.388382,7.517710,true,true,18,0.328758,0.016504,0.019497
S4,meta,1.900000,,1.0,1.924881,0.403289,8.339175,true,true,20,0.341377,0.014907,0.017610
S4,meta,2.100000,,1.0,1.926075,0.416885,9.157905,true,true,22,0.352885,0.013596,0.016061
S4,meta,2.300000,,1.0,1.926688,0.429385,9.973912,true,true,24,0.363466,0.012500,0.014767
S4,meta,2.500000,,1.0,1.927002,0.440955,10.787202,true,true,26,0.373260,0.011570,0.013669
S4,meta,2.700000,,1.0,1.927164,0.451727,11.597787,true,true,28,0.382379,0.010772,0.012726
S4,meta,2.900000,,1.0,1.927247,0.461806,12.405673,true,true,30,0.390910,0.010079,0.011907
S4,meta,3.100000,,1.0,1.927289,0.471277,13.210872,true,true,32,0.398928,0.009472,0.011189
S4,meta,3.300000,,1.0,1.927311,0.480212,14.013391,true,true,34,0.406491,0.008935,0.010555
S4,meta,3.500000,,1.0,1.927322,0.488670,14.813239,true,true,36,0.413650,0.008457,0.009991
S4,meta,3.700000,,1.0,1.927328,0.496699,15.610425,true,true,38,0.420447,0.008029,0.009486
S4,meta,3.900000,,1.0,1.927331,0.504343,16.404959,true,true,40,0.426917,0.007644,0.009030
S4,meta,4.100000,,1.0,1.927333,0.511638,17.196848,true,true,42,0.433093,0.007295,0.008618
S4,meta,4.300000,,1.0,1.927333,0.518616,17.986103,true,true,44,0.438999,0.006978,0.008243
S4,meta,4.500000,,1.0,1.927334,0.525304,18.772731,true,true,46,0.444660,0.006688,0.007901
S4,meta,4.700000,,1.0,1.927334,0.531725,19.556741,true,true,48,0.450096,0.006422,0.007586
S4,meta,4.900000,,1.0,1.927334,0.537902,20.338142,true,true,50,0.455324,0.006177,0.007297
S4,meta,5.100000,,1.0,1.927334,0.543853,21.116943,true,true,52,0.460361,0.005950,0.007030
S4,meta,5.300000,,1.0,1.927334,0.549593,21.893152,true,true,54,0.465221,0.005741,0.006782
S4,meta,5.500000,,1.0,1.927334,0.555140,22.666778,true,true,56,0.469916,0.005546,0.006552
S4,meta,5.700000,,1.0,1.927334,0.560505,23.437829,true,true,58,0.474457,0.005365,0.006338
S4,meta,5.900000,,1.0,1.927334,0.565700,24.206315,true,true,60,0.478855,0.005196,0.006138
S4,meta,6.100000,,1.0,1.927334,0.570738,24.972243,true,true,62,0.483119,0.005037,0.005951
S4,meta,6.300000,,1.0,1.927334,0.575627,25.735623,true,true,64,0.487257,0.004889,0.005775
S4,meta,6.500000,,1.0,1.927334,0.580376,26.496462,true,true,66,0.491277,0.004749,0.005610
S4,meta,6.700000,,1.0,1.927334,0.584994,27.254769,true,true,68,0.495186,0.004618,0.005455
S4,meta,6.900000,,1.0,1.927334,0.589487,28.010553,true,true,70,0.498990,0.004494,0.005309
S4,meta,7.100000,,1.0,1.927334,0.593864,28.763822,true,true,72,0.502695,0.004377,0.005171
S4,meta,7.300000,,1.0,1.927334,0.598130,29.514584,true,true,74,0.506306,0.004266,0.005040
S4,meta,7.500000,,1.0,1.927334,0.602291,30.262847,true,true,76,0.509828,0.004161,0.004916
S4,meta,7.700000,,1.0,1.927334,0.606353,31.008621,true,true,78,0.513266,0.004061,0.004798
S4,meta,7.900000,,1.0,1.927334,0.610319,31.751912,true,true,80,0.516624,0.003967,0.004686
S4,meta,8.100000,,1.0,1.927334,0.614196,32.492731,true,true,82,0.519906,0.003877,0.004580
S4,meta,8.300000,,1.0,1.927334,0.617987,33.231084,true,true,84,0.523115,0.003791,0.004479
S4,meta,8.500000,,1.0,1.927334,0.621697,33.966979,true,true,86,0.526255,0.003709,0.004382
S4,meta,8.700000,,1.0,1.927334,0.625328,34.700426,true,true,88,0.529328,0.003631,0.004290
S4,meta,8.900000,,1.0,1.927334,0.628884,35.431433,true,true,90,0.532339,0.003557,0.004202
S4,meta,9.100000,,1.0,1.927334,0.632370,36.160006,true,true,92,0.535289,0.003485,0.004117
S4,meta,9.300000,,1.0,1.927334,0.635786,36.886155,true,true,94,0.538182,0.003417,0.004037
S4,meta,9.500000,,1.0,1.927334,0.639138,37.609888,true,true,96,0.541019,0.003351,0.003959
S4,meta,9.700000,,1.0,1.927334,0.642426,38.331212,true,true,98,0.543802,0.003289,0.003885
S4,meta,9.900000,,1.0,1.927334,0.645655,39.050136,true,true,100,0.546535,0.003228,0.003814
S4,meta,10.100000,,1.0,1.927334,0.648825,39.766667,true,true,102,0.549219,0.003170,0.003745
S4,meta,10.300000,,1.0,1.927334,0.651940,40.480814,true,true,104,0.551855,0.003115,0.003679
S4,meta,10.500000,,1.0,1.927334,0.655001,41.192584,true,true,106,0.554446,0.003061,0.003616
S4,meta,10.700000,,1.0,1.927334,0.658010,41.901986,true,true,108,0.556993,0.003009,0.003555
S4,meta,10.900000,,1.0,1.927334,0.660970,42.609027,true,true,110,0.559499,0.002960,0.003496
S4,meta,11.100000,,1.0,1.927334,0.663881,43.313715,true,true,112,0.561963,0.002912,0.003440
S4,meta,11.300000,,1.0,1.927334,0.666747,44.016058,true,true,114,0.564389,0.002865,0.003385
S4,meta,11.500000,,1.0,1.927334,0.669567,44.716064,true,true,116,0.566776,0.002821,0.003332
S4,meta,11.700000,,1.0,1.927334,0.672345,45.413740,true,true,118,0.569127,0.002777,0.003281
S4,meta,11.900000,,1.0,1.927334,0.675080,46.109095,true,true,120,0.571443,0.002736,0.003232
S4,meta,12.100000,,1.0,1.927334,0.677775,46.802135,true,true,122,0.573725,0.002695,0.003184
S4,meta,12.300000,,1.0,1.927334,0.680432,47.492870,true,true,124,0.575973,0.002656,0.003138
S4,meta,12.500000,,1.0,1.927334,0.683050,48.181305,true,true,126,0.578189,0.002618,0.003093
S4,meta,12.700000,,1.0,1.927334,0.685632,48.867450,true,true,128,0.580375,0.002582,0.003050
S4,meta,12.900000,,1.0,1.927334,0.688178,49.551311,true,true,130,0.582530,0.002546,0.003008
S4,meta,13.100000,,1.0,1.927334,0.690690,50.232897,true,true,132,0.584656,0.002512,0.002967
S4,meta,13.300000,,1.0,1.927334,0.693168,50.912215,true,true,134,0.586754,0.002478,0.002928
S4,meta,13.500000,,1.0,1.927334,0.695614,51.589271,true,true,136,0.588825,0.002446,0.002889
S4,meta,13.700000,,1.0,1.927334,0.698028,52.264075,true,true,138,0.590868,0.002414,0.002852
S4,meta,13.900000,,1.0,1.927334,0.700412,52.936633,true,true,140,0.592886,0.002384,0.002816
S4,meta,14.100000,,1.0,1.927334,0.702766,53.606953,true,true,142,0.594879,0.002354,0.002781
S4,meta,14.300000,,1.0,1.927334,0.705091,54.275043,true,true,144,0.596847,0.002325,0.002747
S4,meta,14.500000,,1.0,1.927334,0.707389,54.940909,true,true,146,0.598792,0.002297,0.002714
S4,meta,14.700000,,1.0,1.927334,0.709658,55.604559,true,true,148,0.600713,0.002270,0.002681
S4,meta,14.900000,,1.0,1.927334,0.711902,56.266001,true,true,150,0.602612,0.002243,0.002650
S4,meta,15.100000,,1.0,1.927334,0.714119,56.925242,true,true,152,0.604488,0.002217,0.002619
S4,meta,15.300000,,1.0,1.927334,0.716311,57.582288,true,true,154,0.606344,0.002192,0.002590
S4,meta,15.500000,,1.0,1.927334,0.718478,58.237149,true,true,156,0.608179,0.002167,0.002561
S4,meta,15.700000,,1.0,1.927334,0.720622,58.889830,true,true,158,0.609993,0.002143,0.002532
S4,meta,15.900000,,1.0,1.927334,0.722742,59.540339,true,true,160,0.611788,0.002120,0.002505
S4,meta,16.100000,,1.0,1.927334,0.724839,60.188683,true,true,162,0.613563,0.002097,0.002478
S4,meta,16.300000,,1.0,1.927334,0.726914,60.834870,true,true,164,0.615320,0.002075,0.002451
S4,meta,16.500000,,1.0,1.927334,0.728968,61.478906,true,true,166,0.617058,0.002053,0.002426
S4,meta,16.700000,,1.0,1.927334,0.731000,62.120800,true,true,168,0.618778,0.002032,0.002401
S4,meta,16.900000,,1.0,1.927334,0.733011,62.760557,true,true,170,0.620481,0.002012,0.002376
S4,meta,17.100000,,1.0,1.927334,0.735003,63.398185,true,true,172,0.622166,0.001991,0.002353
S4,meta,17.300000,,1.0,1.927334,0.736974,64.033691,true,true,174,0.623835,0.001972,0.002329
S4,meta,17.500000,,1.0,1.927334,0.738927,64.667083,true,true,176,0.625488,0.001952,0.002306
S4,meta,17.700000,,1.0,1.927334,0.740860,65.298366,true,true,178,0.627125,0.001934,0.002284
S4,meta,17.900000,,1.0,1.927334,0.742776,65.927549,true,true,180,0.628746,0.001915,0.002262
S4,meta,18.100000,,1.0,1.927334,0.744673,66.554638,true,true,182,0.630352,0.001897,0.002241
S4,meta,18.300000,,1.0,1.927334,0.746552,67.179641,true,true,184,0.631943,0.001880,0.002220
S4,meta,18.500000,,1.0,1.927334,0.748415,67.802563,true,true,186,0.633519,0.001862,0.002200
S4,meta,18.700000,,1.0,1.927334,0.750260,68.423412,true,true,188,0.635081,0.001845,0.002180
S4,meta,18.900000,,1.0,1.927334,0.752089,69.042196,true,true,190,0.636630,0.001829,0.002161
S4,meta,19.100000,,1.0,1.927334,0.753902,69.658920,true,true,192,0.638164,0.001813,0.002142
S4,meta,19.300000,,1.0,1.927334,0.755699,70.273592,true,true,194,0.639685,0.001797,0.002123
S4,meta,19.500000,,1.0,1.927334,0.757480,70.886218,true,true,196,0.641193,0.001781,0.002105
S4,meta,19.700000,,1.0,1.927334,0.759247,71.496806,true,true,198,0.642688,0.001766,0.002087
S4,meta,19.900000,,1.0,1.927334,0.760998,72.105362,true,true,200,0.644171,0.001751,0.002069
S4,meta,20.100000,,1.0,1.927334,0.762735,72.711892,true,true,202,0.645641,0.001737,0.002052
S4,meta,20.300000,,1.0,1.927334,0.764457,73.316405,true,true,204,0.647099,0.001723,0.002035
S4,meta,20.500000,,1.0,1.927334,0.766166,73.918905,true,true,206,0.648545,0.001709,0.002018
S4,meta,20.700000,,1.0,1.927334,0.767861,74.519401,true,true,208,0.649980,0.001695,0.002002
S4,meta,20.900000,,1.0,1.927334,0.769542,75.117898,true,true,210,0.651403,0.001681,0.001986
S4,meta,21.100000,,1.0,1.927334,0.771210,75.714404,true,true,212,0.652815,0.001668,0.001971
S4,meta,21.300000,,1.0,1.927334,0.772865,76.308924,true,true,214,0.654216,0.001655,0.001955
S4,meta,21.500000,,1.0,1.927334,0.774508,76.901466,true,true,216,0.655607,0.001642,0.001940
S4,meta,21.700000,,1.0,1.927334,0.776138,77.492037,true,true,218,0.656986,0.001630,0.001926
S4,meta,21.900000,,1.0,1.927334,0.777755,78.080642,true,true,220,0.658356,0.001618,0.001911
S4,meta,22.100000,,1.0,1.927334,0.779361,78.667288,true,true,222,0.659715,0.001606,0.001897
S4,meta,22.300000,,1.0,1.927334,0.780955,79.251982,true,true,224,0.661064,0.001594,0.001883
S4,meta,22.500000,,1.0,1.927334,0.782537,79.834730,true,true,226,0.662403,0.001582,0.001869
S4,meta,22.700000,,1.0,1.927334,0.784108,80.415539,true,true,228,0.663733,0.001571,0.001856
S4,meta,22.900000,,1.0,1.927334,0.785667,80.994415,true,true,230,0.665053,0.001560,0.001842
S4,meta,23.100000,,1.0,1.927334,0.787216,81.571365,true,true,232,0.666364,0.001549,0.001829
S4,meta,23.300000,,1.0,1.927334,0.788753,82.146395,true,true,234,0.667665,0.001538,0.001817
S4,meta,23.500000,,1.0,1.927334,0.790280,82.719511,true,true,236,0.668958,0.001527,0.001804
S4,meta,23.700000,,1.0,1.927334,0.791797,83.290720,true,true,238,0.670242,0.001517,0.001792
S4,meta,23.900000,,1.0,1.927334,0.793303,83.860028,true,true,240,0.671517,0.001506,0.001780
S4,meta,24.100000,,1.0,1.927334,0.794800,84.427442,true,true,242,0.672783,0.001496,0.001768
S4,meta,24.300000,,1.0,1.927334,0.796286,84.992967,true,true,244,0.674042,0.001486,0.001756
S4,meta,24.500000,,1.0,1.927334,0.797763,85.556611,true,true,246,0.675291,0.001477,0.001744
S4,meta,24.700000,,1.0,1.927334,0.799229,86.118379,true,true,248,0.676533,0.001467,0.001733
S4,meta,24.900000,,1.0,1.927334,0.800687,86.678277,true,true,250,0.677767,0.001457,0.001722
S4,meta,25.100000,,1.0,1.927334,0.802135,87.236312,true,true,252,0.678993,0.001448,0.001711
S4,meta,25.300000,,1.0,1.927334,0.803574,87.792490,true,true,254,0.680211,0.001439,0.001700
S4,meta,25.500000,,1.0,1.927334,0.805004,88.346818,true,true,256,0.681421,0.001430,0.001689
S4,meta,25.700000,,1.0,1.927334,0.806425,88.899300,true,true,258,0.682624,0.001421,0.001679
S4,meta,25.900000,,1.0,1.927334,0.807838,89.449944,true,true,260,0.683820,0.001412,0.001669
S4,meta,26.100000,,1.0,1.927334,0.809241,89.998756,true,true,262,0.685008,0.001404,0.001658
S4,meta,26.300000,,1.0,1.927334,0.810637,90.545741,true,true,264,0.686189,0.001395,0.001648
S4,meta,26.500000,,1.0,1.927334,0.812024,91.090906,true,true,266,0.687363,0.001387,0.001639
S4,meta,26.700000,,1.0,1.927334,0.813402,91.634257,true,true,268,0.688530,0.001379,0.001629
S4,meta,26.900000,,1.0,1.927334,0.814773,92.175800,true,true,270,0.689691,0.001371,0.001619
S4,meta,27.100000,,1.0,1.927334,0.816136,92.715541,true,true,272,0.690844,0.001363,0.001610
S4,meta,27.300000,,1.0,1.927334,0.817491,93.253485,true,true,274,0.691991,0.001355,0.001601
S4,meta,27.500000,,1.0,1.927334,0.818838,93.789639,true,true,276,0.693131,0.001347,0.001591
S4,meta,27.700000,,1.0,1.927334,0.820177,94.324009,true,true,278,0.694265,0.001340,0.001582
S4,meta,27.900000,,1.0,1.927334,0.821509,94.856601,true,true,280,0.695393,0.001332,0.001574
S4,meta,28.100000,,1.0,1.927334,0.822834,95.387421,true,true,282,0.696514,0.001325,0.001565
S4,meta,28.300000,,1.0,1.927334,0.824151,95.916474,true,true,284,0.697629,0.001317,0.001556
S4,meta,28.500000,,1.0,1.927334,0.825461,96.443766,true,true,286,0.698738,0.001310,0.001548
S4,meta,28.700000,,1.0,1.927334,0.826764,96.969304,true,true,288,0.699841,0.001303,0.001539
S4,meta,28.900000,,1.0,1.927334,0.828060,97.493093,true,true,290,0.700938,0.001296,0.001531
S4,meta,29.100000,,1.0,1.927334,0.829350,98.015138,true,true,292,0.702029,0.001289,0.001523
S4,meta,29.300000,,1.0,1.927334,0.830632,98.535447,true,true,294,0.703115,0.001282,0.001515
S4,meta,29.500000,,1.0,1.927334,0.831908,99.054024,true,true,296,0.704195,0.001276,0.001507
S4,meta,29.700000,,1.0,1.927334,0.833177,99.570875,true,true,298,0.705269,0.001269,0.001499
S4,meta,29.900000,,1.0,1.927334,0.834439,100.086007,true,true,300,0.706338,0.001263,0.001491
S4,meta,30.100000,,1.0,1.927334,0.835695,100.599424,true,true,302,0.707401,0.001256,0.001484
S4,meta,30.300000,,1.0,1.927334,0.836945,101.111132,true,true,304,0.708459,0.001250,0.001476
S4,meta,30.500000,,1.0,1.927334,0.838188,101.621138,true,true,306,0.709511,0.001243,0.001469
S4,meta,30.700000,,1.0,1.927334,0.839426,102.129447,true,true,308,0.710559,0.001237,0.001462
S4,meta,30.900000,,1.0,1.927334,0.840657,102.636064,true,true,310,0.711601,0.001231,0.001454
S4,meta,31.100000,,1.0,1.927334,0.841882,103.140995,true,true,312,0.712638,0.001225,0.001447
S4,meta,31.300000,,1.0,1.927334,0.843101,103.644245,true,true,314,0.713670,0.001219,0.001440
S4,meta,31.500000,,1.0,1.927334,0.844315,104.145821,true,true,316,0.714697,0.001213,0.001433
S4,meta,31.700000,,1.0,1.927334,0.845522,104.645728,true,true,318,0.715719,0.001208,0.001427
S4,meta,31.900000,,1.0,1.927334,0.846724,105.143972,true,true,320,0.716737,0.001202,0.001420
S4,meta,32.100000,,1.0,1.927334,0.847920,105.640557,true,true,322,0.717749,0.001196,0.001413
S4,meta,32.300000,,1.0,1.927334,0.849111,106.135490,true,true,324,0.718757,0.001191,0.001407
S4,meta,32.500000,,1.0,1.927334,0.850296,106.628776,true,true,326,0.719760,0.001185,0.001400
S4,meta,32.700000,,1.0,1.927334,0.851476,107.120420,true,true,328,0.720759,0.001180,0.001394
S4,meta,32.900000,,1.0,1.927334,0.852650,107.610428,true,true,330,0.721753,0.001174,0.001387
S4,meta,33.100000,,1.0,1.927334,0.853819,108.098805,true,true,332,0.722742,0.001169,0.001381
S4,meta,33.300000,,1.0,1.927334,0.854983,108.585558,true,true,334,0.723728,0.001164,0.001375
S4,meta,33.500000,,1.0,1.927334,0.856142,109.070690,true,true,336,0.724708,0.001159,0.001369
S4,meta,33.700000,,1.0,1.927334,0.857295,109.554208,true,true,338,0.725685,0.001154,0.001363
S4,meta,33.900000,,1.0,1.927334,0.858444,110.036117,true,true,340,0.726657,0.001149,0.001357
S4,meta,34.100000,,1.0,1.927334,0.859587,110.516422,true,true,342,0.727625,0.001144,0.001351
S4,meta,34.300000,,1.0,1.927334,0.860726,110.995129,true,true,344,0.728589,0.001139,0.001345
S4,meta,34.500000,,1.0,1.927334,0.861860,111.472243,true,true,346,0.729549,0.001134,0.001339
S4,meta,34.700000,,1.0,1.927334,0.862989,111.947769,true,true,348,0.730504,0.001129,0.001334
S4,meta,34.900000,,1.0,1.927334,0.864113,112.421713,true,true,350,0.731456,0.001124,0.001328
S4,meta,35.100000,,1.0,1.927334,0.865232,112.894080,true,true,352,0.732403,0.001119,0.001322
S4,meta,35.300000,,1.0,1.927334,0.866347,113.364874,true,true,354,0.733347,0.001115,0.001317
S4,meta,35.500000,,1.0,1.927334,0.867457,113.834102,true,true,356,0.734287,0.001110,0.001312
S4,meta,35.700000,,1.0,1.927334,0.868563,114.301769,true,true,358,0.735223,0.001106,0.001306
S4,meta,35.900000,,1.0,1.927334,0.869664,114.767879,true,true,360,0.736155,0.001101,0.001301
S4,meta,36.100000,,1.0,1.927334,0.870761,115.232438,true,true,362,0.737083,0.001097,0.001296
S4,meta,36.300000,,1.0,1.927334,0.871853,115.695451,true,true,364,0.738008,0.001092,0.001291
S4,meta,36.500000,,1.0,1.927334,0.872942,116.156923,true,true,366,0.738929,0.001088,0.001285
S4,meta,36.700000,,1.0,1.927334,0.874025,116.616860,true,true,368,0.739846,0.001084,0.001280
S4,meta,36.900000,,1.0,1.927334,0.875105,117.075266,true,true,370,0.740760,0.001080,0.001275
S4,meta,37.100000,,1.0,1.927334,0.876180,117.532146,true,true,372,0.741671,0.001075,0.001270
S4,meta,37.300000,,1.0,1.927334,0.877251,117.987506,true,true,374,0.742577,0.001071,0.001265
S4,meta,37.500000,,1.0,1.927334,0.878319,118.441351,true,true,376,0.743481,0.001067,0.001261
S4,meta,37.700000,,1.0,1.927334,0.879382,118.893686,true,true,378,0.744380,0.001063,0.001256
S4,meta,37.900000,,1.0,1.927334,0.880441,119.344515,true,true,380,0.745277,0.001059,0.001251
S4,meta,38.100000,,1.0,1.927334,0.881496,119.793844,true,true,382,0.746170,0.001055,0.001246
S4,meta,38.300000,,1.0,1.927334,0.882547,120.241678,true,true,384,0.747060,0.001051,0.001242
S4,meta,38.500000,,1.0,1.927334,0.883594,120.688021,true,true,386,0.747946,0.001047,0.001237
S4,meta,38.700000,,1.0,1.927334,0.884638,121.132879,true,true,388,0.748830,0.001043,0.001233
S4,meta,38.900000,,1.0,1.927334,0.885677,121.576257,true,true,390,0.749710,0.001040,0.001228
S4,meta,39.100000,,1.0,1.927334,0.886713,122.018159,true,true,392,0.750586,0.001036,0.001224
S4,meta,39.300000,,1.0,1.927334,0.887745,122.458591,true,true,394,0.751460,0.001032,0.001219
S4,meta,39.500000,,1.0,1.927334,0.888774,122.897557,true,true,396,0.752331,0.001028,0.001215
S4,meta,39.700000,,1.0,1.927334,0.889798,123.335062,true,true,398,0.753198,0.001025,0.001211
S4,meta,39.900000,,1.0,1.927334,0.890820,123.771111,true,true,400,0.754063,0.001021,0.001206
S4,meta,40.100000,,1.0,1.927334,0.891837,124.205709,true,true,402,0.754924,0.001018,0.001202
S4,meta,40.300000,,1.0,1.927334,0.892851,124.638861,true,true,404,0.755782,0.001014,0.001198
S4,meta,40.500000,,1.0,1.927334,0.893862,125.070572,true,true,406,0.756638,0.001011,0.001194
S4,meta,40.700000,,1.0,1.927334,0.894869,125.500846,true,true,408,0.757490,0.001007,0.001190
S4,meta,40.900000,,1.0,1.927334,0.895873,125.929688,true,true,410,0.758340,0.001004,0.001186
S4,meta,41.100000,,1.0,1.927334,0.896873,126.357103,true,true,412,0.759187,0.001000,0.001182
S4,meta,41.300000,,1.0,1.927334,0.897870,126.783095,true,true,414,0.760031,0.000997,0.001178
S4,meta,41.500000,,1.0,1.927334,0.898864,127.207670,true,true,416,0.760872,0.000994,0.001174
S4,meta,41.700000,,1.0,1.927334,0.899854,127.630832,true,true,418,0.761710,0.000990,0.001170
S4,meta,41.900000,,1.0,1.927334,0.900841,128.052586,true,true,420,0.762546,0.000987,0.001166
S4,meta,42.100000,,1.0,1.927334,0.901825,128.472937,true,true,422,0.763379,0.000984,0.001162
S4,meta,42.300000,,1.0,1.927334,0.902806,128.891888,true,true,424,0.764209,0.000981,0.001159
S4,meta,42.500000,,1.0,1.927334,0.903783,129.309445,true,true,426,0.765036,0.000978,0.001155
S4,meta,42.700000,,1.0,1.927334,0.904758,129.725613,true,true,428,0.765861,0.000974,0.001151
S4,meta,42.900000,,1.0,1.927334,0.905729,130.140396,true,true,430,0.766683,0.000971,0.001147
S4,meta,43.100000,,1.0,1.927334,0.906697,130.553799,true,true,432,0.767503,0.000968,0.001144
S4,meta,43.300000,,1.0,1.927334,0.907663,130.965826,true,true,434,0.768320,0.000965,0.001140
S4,meta,43.500000,,1.0,1.927334,0.908625,131.376481,true,true,436,0.769134,0.000962,0.001137
S4,meta,43.700000,,1.0,1.927334,0.909584,131.785771,true,true,438,0.769946,0.000959,0.001133
S4,meta,43.900000,,1.0,1.927334,0.910540,132.193698,true,true,440,0.770756,0.000956,0.001130
S4,meta,44.100000,,1.0,1.927334,0.911493,132.600267,true,true,442,0.771562,0.000953,0.001126
S4,meta,44.300000,,1.0,1.927334,0.912444,133.005484,true,true,444,0.772367,0.000950,0.001123
S4,meta,44.500000,,1.0,1.927334,0.913391,133.409352,true,true,446,0.773169,0.000948,0.001119
S4,meta,44.700000,,1.0,1.927334,0.914336,133.811877,true,true,448,0.773969,0.000945,0.001116
S4,meta,44.900000,,1.0,1.927334,0.915278,134.213061,true,true,450,0.774766,0.000942,0.001113
S4,meta,45.100000,,1.0,1.927334,0.916217,134.612911,true,true,452,0.775561,0.000939,0.001109
S4,meta,45.300000,,1.0,1.927334,0.917153,135.011430,true,true,454,0.776353,0.000936,0.001106
S4,meta,45.500000,,1.0,1.927334,0.918087,135.408623,true,true,456,0.777144,0.000934,0.001103
S4,meta,45.700000,,1.0,1.927334,0.919017,135.804494,true,true,458,0.777931,0.000931,0.001100
S4,meta,45.900000,,1.0,1.927334,0.919946,136.199048,true,true,460,0.778717,0.000928,0.001096
S4,meta,46.100000,,1.0,1.927334,0.920871,136.592288,true,true,462,0.779501,0.000925,0.001093
S4,meta,46.300000,,1.0,1.927334,0.921794,136.984220,true,true,464,0.780282,0.000923,0.001090
S4,meta,46.500000,,1.0,1.927334,0.922714,137.374848,true,true,466,0.781061,0.000920,0.001087
S4,meta,46.700000,,1.0,1.927334,0.923632,137.764176,true,true,468,0.781837,0.000918,0.001084
S4,meta,46.900000,,1.0,1.927334,0.924547,138.152208,true,true,470,0.782612,0.000915,0.001081
S4,meta,47.100000,,1.0,1.927334,0.925459,138.538950,true,true,472,0.783384,0.000912,0.001078
S4,meta,47.300000,,1.0,1.927334,0.926369,138.924404,true,true,474,0.784155,0.000910,0.001075
S4,meta,47.500000,,1.0,1.927334,0.927277,139.308575,true,true,476,0.784923,0.000907,0.001072
S4,meta,47.700000,,1.0,1.927334,0.928181,139.691468,true,true,478,0.785689,0.000905,0.001069
S4,meta,47.900000,,1.0,1.927334,0.929084,140.073086,true,true,480,0.786453,0.000902,0.001066
S4,meta,48.100000,,1.0,1.927334,0.929984,140.453435,true,true,482,0.787214,0.000900,0.001063
