protocol,case_id,t,input,teacher,a,w,c,fired,active,firedCount,effective
S5,form,0.100000,,1.0,0.937808,0.126972,0.846482,true,true,2,0.107480
S5,form,0.300000,,1.0,1.419294,0.195737,1.690147,true,true,4,0.165688
S5,form,0.500000,,1.0,1.666498,0.242936,2.531004,true,true,6,0.205641
S5,form,0.700000,,1.0,1.793416,0.278895,3.369063,true,true,8,0.236079
S5,form,0.900000,,1.0,1.858578,0.307957,4.204333,true,true,10,0.260680
S5,form,1.100000,,1.0,1.892034,0.332354,5.036824,true,true,12,0.281332
S5,form,1.300000,,1.0,1.909210,0.353387,5.866544,true,true,14,0.299136
S5,form,1.500000,,1.0,1.918029,0.371878,6.693503,true,true,16,0.314788
S5,form,1.700000,,1.0,1.922557,0.388382,7.517710,true,true,18,0.328758
S5,form,1.900000,,1.0,1.924881,0.403289,8.339175,true,true,20,0.341377
S5,form,2.100000,,1.0,1.926075,0.416885,9.157905,true,true,22,0.352885
S5,form,2.300000,,1.0,1.926688,0.429385,9.973912,true,true,24,0.363466
S5,form,2.500000,,1.0,1.927002,0.440955,10.787202,true,true,26,0.373260
S5,form,2.700000,,1.0,1.927164,0.451727,11.597787,true,true,28,0.382379
S5,form,2.900000,,1.0,1.927247,0.461806,12.405673,true,true,30,0.390910
S5,form,3.100000,,1.0,1.927289,0.471277,13.210872,true,true,32,0.398928
S5,form,3.300000,,1.0,1.927311,0.480212,14.013391,true,true,34,0.406491
S5,form,3.500000,,1.0,1.927322,0.488670,14.813239,true,true,36,0.413650
S5,form,3.700000,,1.0,1.927328,0.496699,15.610425,true,true,38,0.420447
S5,form,3.900000,,1.0,1.927331,0.504343,16.404959,true,true,40,0.426917
S5,silence,4.750000,,,0.113359,0.504343,16.404959,true,true,40,0.025110
S5,relearn,4.950000,,1.0,0.996008,0.511638,17.196848,true,true,2,0.433093
S5,relearn,5.150000,,1.0,1.449175,0.518616,17.986103,true,true,4,0.438999
S5,relearn,5.350000,,1.0,1.681839,0.525304,18.772731,true,true,6,0.444660
S5,relearn,5.550000,,1.0,1.801293,0.531725,19.556741,true,true,8,0.450096
S5,relearn,5.750000,,1.0,1.862622,0.537902,20.338142,true,true,10,0.455324
S5,relearn,5.950000,,1.0,1.894110,0.543853,21.116943,true,true,12,0.460361
S5,relearn,6.150000,,1.0,1.910276,0.549593,21.893152,true,true,14,0.465221
S5,relearn,6.350000,,1.0,1.918576,0.555140,22.666778,true,true,16,0.469916
S5,relearn,6.550000,,1.0,1.922838,0.560505,23.437829,true,true,18,0.474457
S5,relearn,6.750000,,1.0,1.925026,0.565700,24.206315,true,true,20,0.478855
S5,relearn,6.950000,,1.0,1.926149,0.570738,24.972243,true,true,22,0.483119
S5,relearn,7.150000,,1.0,1.926726,0.575627,25.735623,true,true,24,0.487257
S5,relearn,7.350000,,1.0,1.927022,0.580376,26.496462,true,true,26,0.491277
S5,relearn,7.550000,,1.0,1.927174,0.584994,27.254769,true,true,28,0.495186
S5,relearn,7.750000,,1.0,1.927252,0.589487,28.010553,true,true,30,0.498990
S5,relearn,7.950000,,1.0,1.927292,0.593864,28.763822,true,true,32,0.502695
S5,relearn,8.150000,,1.0,1.927312,0.598130,29.514584,true,true,34,0.506306
S5,relearn,8.350000,,1.0,1.927323,0.602291,30.262847,true,true,36,0.509828
S5,relearn,8.550000,,1.0,1.927328,0.606353,31.008621,true,true,38,0.513266
S5,relearn,8.750000,,1.0,1.927331,0.610319,31.751912,true,true,40,0.516624
