protocol,case_id,t,input,teacher,a,w,c,fired,active,firedCount,effective
S6,a_subthreshold,0.050000,0.3,1.0,0.253945,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,1.050000,0.3,1.0,0.263004,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,2.050000,0.3,1.0,0.263327,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,3.050000,0.3,1.0,0.263338,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,4.050000,0.3,1.0,0.263339,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,5.050000,0.3,1.0,0.263339,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,6.050000,0.3,1.0,0.263339,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,7.050000,0.3,1.0,0.263339,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,8.050000,0.3,1.0,0.263339,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,9.050000,0.3,1.0,0.263339,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,10.050000,0.3,1.0,0.263339,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,11.050000,0.3,1.0,0.263339,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,12.050000,0.3,1.0,0.263339,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,13.050000,0.3,1.0,0.263339,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,14.050000,0.3,1.0,0.263339,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,15.050000,0.3,1.0,0.263339,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,16.050000,0.3,1.0,0.263339,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,17.050000,0.3,1.0,0.263339,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,18.050000,0.3,1.0,0.263339,0.000000,0.000000,false,true,0,0.000000
S6,a_subthreshold,19.050000,0.3,1.0,0.263339,0.000000,0.000000,false,true,0,0.000000
S6,b_suprathreshold,0.100000,0.6,1.0,0.937808,0.126972,0.846482,true,true,2,0.107480
S6,b_suprathreshold,0.300000,0.6,1.0,1.419294,0.195737,1.690147,true,true,4,0.165688
S6,b_suprathreshold,0.500000,0.6,1.0,1.666498,0.242936,2.531004,true,true,6,0.205641
S6,b_suprathreshold,0.700000,0.6,1.0,1.793416,0.278895,3.369063,true,true,8,0.236079
S6,b_suprathreshold,0.900000,0.6,1.0,1.858578,0.307957,4.204333,true,true,10,0.260680
S6,b_suprathreshold,1.100000,0.6,1.0,1.892034,0.332354,5.036824,true,true,12,0.281332
S6,b_suprathreshold,1.300000,0.6,1.0,1.909210,0.353387,5.866544,true,true,14,0.299136
S6,b_suprathreshold,1.500000,0.6,1.0,1.918029,0.371878,6.693503,true,true,16,0.314788
S6,b_suprathreshold,1.700000,0.6,1.0,1.922557,0.388382,7.517710,true,true,18,0.328758
S6,b_suprathreshold,1.900000,0.6,1.0,1.924881,0.403289,8.339175,true,true,20,0.341377
S6,b_suprathreshold,2.100000,0.6,1.0,1.926075,0.416885,9.157905,true,true,22,0.352885
S6,b_suprathreshold,2.300000,0.6,1.0,1.926688,0.429385,9.973912,true,true,24,0.363466
S6,b_suprathreshold,2.500000,0.6,1.0,1.927002,0.440955,10.787202,true,true,26,0.373260
S6,b_suprathreshold,2.700000,0.6,1.0,1.927164,0.451727,11.597787,true,true,28,0.382379
S6,b_suprathreshold,2.900000,0.6,1.0,1.927247,0.461806,12.405673,true,true,30,0.390910
S6,b_suprathreshold,3.100000,0.6,1.0,1.927289,0.471277,13.210872,true,true,32,0.398928
S6,b_suprathreshold,3.300000,0.6,1.0,1.927311,0.480212,14.013391,true,true,34,0.406491
S6,b_suprathreshold,3.500000,0.6,1.0,1.927322,0.488670,14.813239,true,true,36,0.413650
S6,b_suprathreshold,3.700000,0.6,1.0,1.927328,0.496699,15.610425,true,true,38,0.420447
S6,b_suprathreshold,3.900000,0.6,1.0,1.927331,0.504343,16.404959,true,true,40,0.426917
