protocol,case_id,t,input,teacher,a,w,c,fired,active,firedCount,effective
S7,x=0.20_ipi=0.05,0.025000,0.20,1.0,0.951494,0.147521,0.983471,true,true,3,0.145082
S7,x=0.20_ipi=0.05,0.075000,0.20,1.0,1.756916,0.221896,1.966615,true,true,8,0.218228
S7,x=0.20_ipi=0.05,0.125000,0.20,1.0,2.438691,0.271623,2.949431,true,true,13,0.267133
S7,x=0.20_ipi=0.05,0.175000,0.20,1.0,3.015801,0.308975,3.931920,true,true,18,0.303868
S7,x=0.20_ipi=0.05,0.225000,0.20,1.0,3.504314,0.338886,4.914081,true,true,23,0.333285
S7,x=0.20_ipi=0.05,0.275000,0.20,1.0,3.917831,0.363830,5.895914,true,true,28,0.357817
S7,x=0.20_ipi=0.05,0.325000,0.20,1.0,4.267866,0.385223,6.877421,true,true,33,0.378856
S7,x=0.20_ipi=0.05,0.375000,0.20,1.0,4.564165,0.403950,7.858600,true,true,38,0.397273
S7,x=0.20_ipi=0.05,0.425000,0.20,1.0,4.814976,0.420603,8.839453,true,true,43,0.413651
S7,x=0.20_ipi=0.05,0.475000,0.20,1.0,5.027282,0.435596,9.819978,true,true,48,0.428396
S7,x=0.20_ipi=0.05,0.525000,0.20,1.0,5.206996,0.449230,10.800177,true,true,53,0.441805
S7,x=0.20_ipi=0.05,0.575000,0.20,1.0,5.359121,0.461731,11.780049,true,true,58,0.454100
S7,x=0.20_ipi=0.05,0.625000,0.20,1.0,5.487892,0.473274,12.759594,true,true,63,0.465452
S7,x=0.20_ipi=0.05,0.675000,0.20,1.0,5.596894,0.483996,13.738813,true,true,68,0.475996
S7,x=0.20_ipi=0.05,0.725000,0.20,1.0,5.689162,0.494005,14.717706,true,true,73,0.485839
S7,x=0.20_ipi=0.05,0.775000,0.20,1.0,5.767265,0.503390,15.696272,true,true,78,0.495070
S7,x=0.20_ipi=0.05,0.825000,0.20,1.0,5.833378,0.512226,16.674512,true,true,83,0.503759
S7,x=0.20_ipi=0.05,0.875000,0.20,1.0,5.889342,0.520572,17.652427,true,true,88,0.511968
S7,x=0.20_ipi=0.05,0.925000,0.20,1.0,5.936714,0.528481,18.630015,true,true,93,0.519746
S7,x=0.20_ipi=0.05,0.975000,0.20,1.0,5.976813,0.535996,19.607277,true,true,98,0.527137
S7,x=0.20_ipi=0.05,1.025000,0.20,1.0,6.010757,0.543155,20.584214,true,true,103,0.534177
S7,x=0.20_ipi=0.05,1.075000,0.20,1.0,6.039490,0.549990,21.560825,true,true,108,0.540899
S7,x=0.20_ipi=0.05,1.125000,0.20,1.0,6.063811,0.556528,22.537111,true,true,113,0.547330
S7,x=0.20_ipi=0.05,1.175000,0.20,1.0,6.084399,0.562796,23.513071,true,true,118,0.553494
S7,x=0.20_ipi=0.05,1.225000,0.20,1.0,6.101826,0.568814,24.488706,true,true,123,0.559412
S7,x=0.20_ipi=0.05,1.275000,0.20,1.0,6.116578,0.574602,25.464016,true,true,128,0.565104
S7,x=0.20_ipi=0.05,1.325000,0.20,1.0,6.129065,0.580176,26.439001,true,true,133,0.570587
S7,x=0.20_ipi=0.05,1.375000,0.20,1.0,6.139635,0.585552,27.413661,true,true,138,0.575874
S7,x=0.20_ipi=0.05,1.425000,0.20,1.0,6.148583,0.590744,28.387996,true,true,143,0.580980
S7,x=0.20_ipi=0.05,1.475000,0.20,1.0,6.156157,0.595764,29.362007,true,true,148,0.585917
S7,x=0.20_ipi=0.05,1.525000,0.20,1.0,6.162568,0.600623,30.335692,true,true,153,0.590695
S7,x=0.20_ipi=0.05,1.575000,0.20,1.0,6.167995,0.605331,31.309054,true,true,158,0.595325
S7,x=0.20_ipi=0.05,1.625000,0.20,1.0,6.172588,0.609897,32.282090,true,true,163,0.599816
S7,x=0.20_ipi=0.05,1.675000,0.20,1.0,6.176477,0.614329,33.254803,true,true,168,0.604175
S7,x=0.20_ipi=0.05,1.725000,0.20,1.0,6.179769,0.618636,34.227191,true,true,173,0.608410
S7,x=0.20_ipi=0.05,1.775000,0.20,1.0,6.182555,0.622823,35.199256,true,true,178,0.612529
S7,x=0.20_ipi=0.05,1.825000,0.20,1.0,6.184913,0.626898,36.170996,true,true,183,0.616537
S7,x=0.20_ipi=0.05,1.875000,0.20,1.0,6.186910,0.630867,37.142412,true,true,188,0.620440
S7,x=0.20_ipi=0.05,1.925000,0.20,1.0,6.188600,0.634735,38.113505,true,true,193,0.624244
S7,x=0.20_ipi=0.05,1.975000,0.20,1.0,6.190030,0.638506,39.084274,true,true,198,0.627953
S7,x=0.20_ipi=0.05,2.025000,0.20,1.0,6.191241,0.642187,40.054720,true,true,203,0.631572
S7,x=0.20_ipi=0.05,2.075000,0.20,1.0,6.192266,0.645780,41.024842,true,true,208,0.635106
S7,x=0.20_ipi=0.05,2.125000,0.20,1.0,6.193134,0.649290,41.994641,true,true,213,0.638558
S7,x=0.20_ipi=0.05,2.175000,0.20,1.0,6.193868,0.652721,42.964116,true,true,218,0.641933
S7,x=0.20_ipi=0.05,2.225000,0.20,1.0,6.194490,0.656077,43.933269,true,true,223,0.645233
S7,x=0.20_ipi=0.05,2.275000,0.20,1.0,6.195016,0.659360,44.902098,true,true,228,0.648462
S7,x=0.20_ipi=0.05,2.325000,0.20,1.0,6.195462,0.662574,45.870605,true,true,233,0.651622
S7,x=0.20_ipi=0.05,2.375000,0.20,1.0,6.195839,0.665721,46.838788,true,true,238,0.654718
S7,x=0.20_ipi=0.05,2.425000,0.20,1.0,6.196158,0.668805,47.806650,true,true,243,0.657751
S7,x=0.20_ipi=0.05,2.475000,0.20,1.0,6.196428,0.671827,48.774188,true,true,248,0.660723
S7,x=0.20_ipi=0.05,2.525000,0.20,1.0,6.196657,0.674791,49.741404,true,true,253,0.663638
S7,x=0.20_ipi=0.05,2.575000,0.20,1.0,6.196850,0.677699,50.708298,true,true,258,0.666497
S7,x=0.20_ipi=0.05,2.625000,0.20,1.0,6.197014,0.680552,51.674870,true,true,263,0.669303
S7,x=0.20_ipi=0.05,2.675000,0.20,1.0,6.197153,0.683352,52.641119,true,true,268,0.672057
S7,x=0.20_ipi=0.05,2.725000,0.20,1.0,6.197271,0.686102,53.607046,true,true,273,0.674762
S7,x=0.20_ipi=0.05,2.775000,0.20,1.0,6.197370,0.688804,54.572652,true,true,278,0.677419
S7,x=0.20_ipi=0.05,2.825000,0.20,1.0,6.197454,0.691458,55.537935,true,true,283,0.680029
S7,x=0.20_ipi=0.05,2.875000,0.20,1.0,6.197525,0.694068,56.502897,true,true,288,0.682596
S7,x=0.20_ipi=0.05,2.925000,0.20,1.0,6.197586,0.696633,57.467537,true,true,293,0.685119
S7,x=0.20_ipi=0.05,2.975000,0.20,1.0,6.197637,0.699156,58.431856,true,true,298,0.687600
S7,x=0.20_ipi=0.10,0.025000,0.20,1.0,0.951494,0.147521,0.983471,true,true,3,0.145082
S7,x=0.20_ipi=0.10,0.125000,0.20,1.0,1.633269,0.221896,1.966615,true,true,8,0.218228
S7,x=0.20_ipi=0.10,0.225000,0.20,1.0,2.121782,0.271623,2.949431,true,true,13,0.267133
S7,x=0.20_ipi=0.10,0.325000,0.20,1.0,2.471817,0.308975,3.931920,true,true,18,0.303868
S7,x=0.20_ipi=0.10,0.425000,0.20,1.0,2.722628,0.338886,4.914081,true,true,23,0.333285
S7,x=0.20_ipi=0.10,0.525000,0.20,1.0,2.902342,0.363830,5.895914,true,true,28,0.357817
S7,x=0.20_ipi=0.10,0.625000,0.20,1.0,3.031112,0.385223,6.877421,true,true,33,0.378856
S7,x=0.20_ipi=0.10,0.725000,0.20,1.0,3.123381,0.403950,7.858600,true,true,38,0.397273
S7,x=0.20_ipi=0.10,0.825000,0.20,1.0,3.189494,0.420603,8.839453,true,true,43,0.413651
S7,x=0.20_ipi=0.10,0.925000,0.20,1.0,3.236866,0.435596,9.819978,true,true,48,0.428396
S7,x=0.20_ipi=0.10,1.025000,0.20,1.0,3.270809,0.449230,10.800177,true,true,53,0.441805
S7,x=0.20_ipi=0.10,1.125000,0.20,1.0,3.295131,0.461731,11.780049,true,true,58,0.454100
S7,x=0.20_ipi=0.10,1.225000,0.20,1.0,3.312558,0.473274,12.759594,true,true,63,0.465452
S7,x=0.20_ipi=0.10,1.325000,0.20,1.0,3.325045,0.483996,13.738813,true,true,68,0.475996
S7,x=0.20_ipi=0.10,1.425000,0.20,1.0,3.333993,0.494005,14.717706,true,true,73,0.485839
S7,x=0.20_ipi=0.10,1.525000,0.20,1.0,3.340404,0.503390,15.696272,true,true,78,0.495070
S7,x=0.20_ipi=0.10,1.625000,0.20,1.0,3.344998,0.512226,16.674512,true,true,83,0.503759
S7,x=0.20_ipi=0.10,1.725000,0.20,1.0,3.348289,0.520572,17.652427,true,true,88,0.511968
S7,x=0.20_ipi=0.10,1.825000,0.20,1.0,3.350648,0.528481,18.630015,true,true,93,0.519746
S7,x=0.20_ipi=0.10,1.925000,0.20,1.0,3.352338,0.535996,19.607277,true,true,98,0.527137
S7,x=0.20_ipi=0.10,2.025000,0.20,1.0,3.353549,0.543155,20.584214,true,true,103,0.534177
S7,x=0.20_ipi=0.10,2.125000,0.20,1.0,3.354416,0.549990,21.560825,true,true,108,0.540899
S7,x=0.20_ipi=0.10,2.225000,0.20,1.0,3.355038,0.556528,22.537111,true,true,113,0.547330
S7,x=0.20_ipi=0.10,2.325000,0.20,1.0,3.355483,0.562796,23.513071,true,true,118,0.553494
S7,x=0.20_ipi=0.10,2.425000,0.20,1.0,3.355803,0.568814,24.488706,true,true,123,0.559412
S7,x=0.20_ipi=0.10,2.525000,0.20,1.0,3.356031,0.574602,25.464016,true,true,128,0.565104
S7,x=0.20_ipi=0.10,2.625000,0.20,1.0,3.356195,0.580176,26.439001,true,true,133,0.570587
S7,x=0.20_ipi=0.10,2.725000,0.20,1.0,3.356313,0.585552,27.413661,true,true,138,0.575874
S7,x=0.20_ipi=0.10,2.825000,0.20,1.0,3.356397,0.590744,28.387996,true,true,143,0.580980
S7,x=0.20_ipi=0.10,2.925000,0.20,1.0,3.356457,0.595764,29.362007,true,true,148,0.585917
S7,x=0.20_ipi=0.10,3.025000,0.20,1.0,3.356500,0.600623,30.335692,true,true,153,0.590695
S7,x=0.20_ipi=0.10,3.125000,0.20,1.0,3.356531,0.605331,31.309054,true,true,158,0.595325
S7,x=0.20_ipi=0.10,3.225000,0.20,1.0,3.356553,0.609897,32.282090,true,true,163,0.599816
