protocol,case_id,t,input,teacher,a,w,c,fired,active,firedCount,effective,dw
S8,m=-0.5|form,0.100000,,1.0,0.937808,0.126972,0.846482,true,true,2,0.107480,0.126972
S8,m=-0.5|form,0.300000,,1.0,1.419294,0.195737,1.690147,true,true,4,0.165688,0.068764
S8,m=-0.5|form,0.500000,,1.0,1.666498,0.242936,2.531004,true,true,6,0.205641,0.047199
S8,m=-0.5|form,0.700000,,1.0,1.793416,0.278895,3.369063,true,true,8,0.236079,0.035959
S8,m=-0.5|form,0.900000,,1.0,1.858578,0.307957,4.204333,true,true,10,0.260680,0.029062
S8,m=-0.5|form,1.100000,,1.0,1.892034,0.332354,5.036824,true,true,12,0.281332,0.024397
S8,m=-0.5|form,1.300000,,1.0,1.909210,0.353387,5.866544,true,true,14,0.299136,0.021033
S8,m=-0.5|form,1.500000,,1.0,1.918029,0.371878,6.693503,true,true,16,0.314788,0.018491
S8,m=-0.5|form,1.700000,,1.0,1.922557,0.388382,7.517710,true,true,18,0.328758,0.016504
S8,m=-0.5|form,1.900000,,1.0,1.924881,0.403289,8.339175,true,true,20,0.341377,0.014907
S8,m=-0.5|form,2.100000,,1.0,1.926075,0.416885,9.157905,true,true,22,0.352885,0.013596
S8,m=-0.5|form,2.300000,,1.0,1.926688,0.429385,9.973912,true,true,24,0.363466,0.012500
S8,m=-0.5|form,2.500000,,1.0,1.927002,0.440955,10.787202,true,true,26,0.373260,0.011570
S8,m=-0.5|form,2.700000,,1.0,1.927164,0.451727,11.597787,true,true,28,0.382379,0.010772
S8,m=-0.5|form,2.900000,,1.0,1.927247,0.461806,12.405673,true,true,30,0.390910,0.010079
S8,m=-0.5|form,3.100000,,1.0,1.927289,0.471277,13.210872,true,true,32,0.398928,0.009472
S8,m=-0.5|form,3.300000,,1.0,1.927311,0.480212,14.013391,true,true,34,0.406491,0.008935
S8,m=-0.5|form,3.500000,,1.0,1.927322,0.488670,14.813239,true,true,36,0.413650,0.008457
S8,m=-0.5|form,3.700000,,1.0,1.927328,0.496699,15.610425,true,true,38,0.420447,0.008029
S8,m=-0.5|form,3.900000,,1.0,1.927331,0.504343,16.404959,true,true,40,0.426917,0.007644
S8,m=-0.5|ltd,4.100000,,-0.5,1.927333,0.500696,16.773608,true,true,42,0.423830,-0.003648
S8,m=-0.5|ltd,4.300000,,-0.5,1.927333,0.497124,17.141029,true,true,44,0.420806,-0.003572
S8,m=-0.5|ltd,4.500000,,-0.5,1.927334,0.493624,17.507229,true,true,46,0.417844,-0.003500
S8,m=-0.5|ltd,4.700000,,-0.5,1.927334,0.490194,17.872209,true,true,48,0.414940,-0.003430
S8,m=-0.5|ltd,4.900000,,-0.5,1.927334,0.486830,18.235975,true,true,50,0.412093,-0.003364
S8,m=-0.5|ltd,5.100000,,-0.5,1.927334,0.483529,18.598531,true,true,52,0.409299,-0.003300
S8,m=-0.5|ltd,5.300000,,-0.5,1.927334,0.480290,18.959880,true,true,54,0.406557,-0.003239
S8,m=-0.5|ltd,5.500000,,-0.5,1.927334,0.477109,19.320026,true,true,56,0.403864,-0.003181
S8,m=-0.5|ltd,5.700000,,-0.5,1.927334,0.473985,19.678974,true,true,58,0.401220,-0.003124
S8,m=-0.5|ltd,5.900000,,-0.5,1.927334,0.470915,20.036728,true,true,60,0.398621,-0.003070
S8,m=-0.5|ltd,6.100000,,-0.5,1.927334,0.467897,20.393291,true,true,62,0.396066,-0.003018
S8,m=-0.5|ltd,6.300000,,-0.5,1.927334,0.464930,20.748667,true,true,64,0.393554,-0.002968
S8,m=-0.5|ltd,6.500000,,-0.5,1.927334,0.462010,21.102861,true,true,66,0.391083,-0.002919
S8,m=-0.5|ltd,6.700000,,-0.5,1.927334,0.459138,21.455876,true,true,68,0.388652,-0.002872
S8,m=-0.5|ltd,6.900000,,-0.5,1.927334,0.456311,21.807716,true,true,70,0.386259,-0.002827
S8,m=-0.5|ltd,7.100000,,-0.5,1.927334,0.453527,22.158386,true,true,72,0.383903,-0.002784
S8,m=-0.5|ltd,7.300000,,-0.5,1.927334,0.450786,22.507888,true,true,74,0.381582,-0.002741
S8,m=-0.5|ltd,7.500000,,-0.5,1.927334,0.448085,22.856228,true,true,76,0.379296,-0.002701
S8,m=-0.5|ltd,7.700000,,-0.5,1.927334,0.445424,23.203408,true,true,78,0.377044,-0.002661
S8,m=-0.5|ltd,7.900000,,-0.5,1.927334,0.442801,23.549433,true,true,80,0.374823,-0.002623
S8,m=-0.5|ltd,8.100000,,-0.5,1.927334,0.440215,23.894306,true,true,82,0.372634,-0.002586
S8,m=-0.5|ltd,8.300000,,-0.5,1.927334,0.437665,24.238032,true,true,84,0.370475,-0.002550
S8,m=-0.5|ltd,8.500000,,-0.5,1.927334,0.435149,24.580614,true,true,86,0.368346,-0.002515
S8,m=-0.5|ltd,8.700000,,-0.5,1.927334,0.432668,24.922056,true,true,88,0.366245,-0.002482
S8,m=-0.5|ltd,8.900000,,-0.5,1.927334,0.430219,25.262362,true,true,90,0.364172,-0.002449
S8,m=-0.5|ltd,9.100000,,-0.5,1.927334,0.427801,25.601535,true,true,92,0.362126,-0.002417
S8,m=-0.5|ltd,9.300000,,-0.5,1.927334,0.425415,25.939579,true,true,94,0.360106,-0.002387
S8,m=-0.5|ltd,9.500000,,-0.5,1.927334,0.423058,26.276499,true,true,96,0.358111,-0.002357
S8,m=-0.5|ltd,9.700000,,-0.5,1.927334,0.420730,26.612297,true,true,98,0.356141,-0.002328
S8,m=-0.5|ltd,9.900000,,-0.5,1.927334,0.418431,26.946978,true,true,100,0.354194,-0.002299
